base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
890	ENTREZID	4605	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4605	ENTREZID	132660	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2305	ENTREZID	132660	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
472	ENTREZID	8878	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10111	ENTREZID	472	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4683	ENTREZID	472	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4361	ENTREZID	472	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
472	ENTREZID	11200	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10111	ENTREZID	10111	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4683	ENTREZID	10111	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
4361	ENTREZID	10111	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10912	ENTREZID	983	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
545	ENTREZID	1111	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
545	ENTREZID	8878	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
144715	ENTREZID	545	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5810	ENTREZID	545	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
3364	ENTREZID	545	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
993	ENTREZID	85417	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
993	ENTREZID	898	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
993	ENTREZID	595	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
144715	ENTREZID	5810	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
5810	ENTREZID	5810	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
3364	ENTREZID	5810	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
983	ENTREZID	85417	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
10758	ENTREZID	4790	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
3552	ENTREZID	4790	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2626	ENTREZID	10758	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2626	ENTREZID	3552	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
8878	ENTREZID	2626	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
9261	ENTREZID	677	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
2475	ENTREZID	1978	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
823	ENTREZID	3552	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
163688	ENTREZID	5530	ENTREZID	Cellular Processes-Cell growth and death-Cellular senescence
